2021.05.18.19:10,230,7,9,14,15,16,17,18,20,1
2021.05.18.19:05,229,1,2,7,8,10,12,13,19,4
2021.05.18.19:00,228,1,5,6,8,11,14,16,18,1
2021.05.18.18:55,227,2,4,8,12,14,15,17,18,3
2021.05.18.18:50,226,6,11,14,15,17,18,19,20,2
2021.05.18.18:45,225,2,4,5,11,15,17,18,20,2
2021.05.18.18:40,224,1,2,5,9,10,13,15,16,3
2021.05.18.18:35,223,2,3,4,6,7,16,18,19,1
2021.05.18.18:30,222,2,3,4,5,7,8,12,20,1
2021.05.18.18:25,221,1,2,3,5,8,16,17,19,1
2021.05.18.18:20,220,6,7,10,11,12,13,17,20,4
2021.05.18.18:15,219,6,7,10,11,13,17,18,19,1
2021.05.18.18:10,218,2,4,6,7,8,12,16,19,2
2021.05.18.18:05,217,3,8,9,12,14,16,18,20,3
2021.05.18.18:00,216,2,3,5,11,12,13,14,20,1
2021.05.18.17:55,215,3,4,6,9,11,13,14,17,1
2021.05.18.17:50,214,2,5,6,8,9,12,14,17,2
2021.05.18.17:45,213,3,6,7,9,10,12,14,19,1
2021.05.18.17:40,212,2,7,8,11,12,13,16,20,1
2021.05.18.17:35,211,3,6,7,9,11,12,14,16,3
2021.05.18.17:30,210,1,4,5,6,9,12,15,19,1
2021.05.18.17:25,209,7,8,9,10,11,13,14,15,4
2021.05.18.17:20,208,1,3,5,6,7,8,12,15,3
2021.05.18.17:15,207,3,5,6,8,9,11,13,20,4
2021.05.18.17:10,206,2,3,5,7,8,10,14,16,2
2021.05.18.17:05,205,1,5,6,9,14,18,19,20,4
2021.05.18.17:00,204,2,3,5,7,11,12,19,20,3
2021.05.18.16:55,203,2,3,6,8,10,11,15,18,4
2021.05.18.16:50,202,2,3,7,9,10,12,15,16,2
2021.05.18.16:45,201,7,8,10,12,13,14,17,20,1
2021.05.18.16:40,200,3,7,8,9,11,13,18,19,1
2021.05.18.16:35,199,2,5,6,10,11,17,19,20,1
2021.05.18.16:30,198,1,2,4,5,8,9,11,16,2
2021.05.18.16:25,197,2,4,5,7,11,14,15,19,2
2021.05.18.16:20,196,3,4,5,9,12,15,16,17,2
2021.05.18.16:15,195,6,7,8,11,16,18,19,20,1
2021.05.18.16:10,194,1,3,5,8,9,10,11,12,2
2021.05.18.16:05,193,2,4,9,10,11,12,15,17,4
2021.05.18.16:00,192,2,3,6,7,10,11,14,16,1
2021.05.18.15:55,191,1,7,8,9,14,18,19,20,2
2021.05.18.15:50,190,3,10,14,15,16,17,18,19,4
2021.05.18.15:45,189,1,2,6,10,15,16,18,20,2
2021.05.18.15:40,188,2,3,5,8,10,13,15,16,4
2021.05.18.15:35,187,4,6,11,12,14,17,19,20,1
2021.05.18.15:30,186,1,3,8,12,14,16,17,20,1
2021.05.18.15:25,185,3,5,9,10,11,15,19,20,4
2021.05.18.15:20,184,4,7,8,10,11,15,16,20,3
2021.05.18.15:15,183,2,4,7,8,12,14,15,17,3
2021.05.18.15:10,182,1,6,9,10,13,15,16,17,1
2021.05.18.15:05,181,4,7,10,13,15,16,19,20,2
2021.05.18.15:00,180,1,2,3,6,7,15,16,18,2
2021.05.18.14:55,179,2,6,9,11,14,15,16,19,2
2021.05.18.14:50,178,1,10,11,12,13,14,17,20,4
2021.05.18.14:45,177,4,5,6,7,10,12,15,17,4
2021.05.18.14:40,176,5,6,7,8,9,10,13,20,3
2021.05.18.14:35,175,1,3,10,11,15,16,17,20,2
2021.05.18.14:30,174,1,2,3,4,6,7,8,19,2
2021.05.18.14:25,173,2,7,8,10,11,12,17,20,4
2021.05.18.14:20,172,1,2,3,6,10,11,18,19,2
2021.05.18.14:15,171,4,8,9,10,14,18,19,20,2
2021.05.18.14:10,170,2,6,8,9,10,13,18,19,4
2021.05.18.14:05,169,2,3,4,9,12,13,18,20,1
2021.05.18.14:00,168,3,4,5,9,11,13,18,19,3
2021.05.18.13:55,167,3,4,8,14,15,16,19,20,1
2021.05.18.13:50,166,3,5,6,7,10,11,14,19,3
2021.05.18.13:45,165,2,3,4,5,10,12,18,20,4
2021.05.18.13:40,164,1,2,4,9,12,15,18,19,1
2021.05.18.13:35,163,2,4,6,9,13,14,15,18,2
2021.05.18.13:30,162,2,3,7,9,11,13,15,17,3
2021.05.18.13:25,161,3,4,6,11,12,14,15,18,1
2021.05.18.13:20,160,3,4,5,7,8,9,12,16,4
2021.05.18.13:15,159,1,4,5,6,12,18,19,20,1
2021.05.18.13:10,158,1,2,3,7,13,14,18,19,2
2021.05.18.13:05,157,1,3,5,13,14,15,16,20,1
2021.05.18.13:00,156,3,5,7,9,12,15,18,19,1
2021.05.18.12:55,155,4,5,6,9,11,12,14,19,4
2021.05.18.12:50,154,2,5,8,10,12,14,15,19,2
2021.05.18.12:45,153,2,4,5,11,15,16,18,19,4
2021.05.18.12:40,152,1,2,3,5,6,7,12,15,1
2021.05.18.12:35,151,3,4,6,11,12,13,17,18,2
2021.05.18.12:30,150,1,2,4,11,15,18,19,20,3
2021.05.18.12:25,149,3,6,7,8,14,16,17,18,1
2021.05.18.12:20,148,1,5,7,9,11,15,19,20,4
2021.05.18.12:15,147,2,3,6,7,10,12,13,18,3
2021.05.18.12:10,146,4,5,7,8,9,14,17,18,2
2021.05.18.12:05,145,2,3,7,10,11,14,15,18,3
2021.05.18.12:00,144,1,2,5,14,17,18,19,20,4
2021.05.18.11:55,143,3,5,7,8,10,13,14,15,1
2021.05.18.11:50,142,1,6,7,8,11,16,18,20,1
2021.05.18.11:45,141,2,5,7,8,12,14,15,16,1
2021.05.18.11:40,140,3,4,7,8,15,16,18,19,2
2021.05.18.11:35,139,3,7,8,11,12,13,18,19,2
2021.05.18.11:30,138,3,4,5,8,11,14,15,19,4
2021.05.18.11:25,137,3,6,7,11,13,15,17,18,4
2021.05.18.11:20,136,1,3,7,9,12,14,15,17,1
2021.05.18.11:15,135,2,6,10,14,15,16,18,19,3
2021.05.18.11:10,134,1,5,8,9,11,13,17,20,4
2021.05.18.11:05,133,7,8,11,15,17,18,19,20,2
2021.05.18.11:00,132,6,7,9,10,11,12,15,16,1
2021.05.18.10:55,131,3,11,12,16,17,18,19,20,2
2021.05.18.10:50,130,3,8,10,14,15,16,17,19,4
2021.05.18.10:45,129,3,6,7,8,10,13,15,20,3
2021.05.18.10:40,128,1,5,7,8,9,12,14,16,3
2021.05.18.10:35,127,4,6,8,10,12,18,19,20,3
2021.05.18.10:30,126,2,7,10,11,15,16,17,19,1
2021.05.18.10:25,125,1,2,6,7,8,11,16,20,4
2021.05.18.10:20,124,2,8,9,13,14,16,18,19,2
2021.05.18.10:15,123,1,3,10,14,15,17,19,20,3
2021.05.18.10:10,122,1,4,10,12,15,18,19,20,4
2021.05.18.10:05,121,1,2,6,7,12,16,19,20,4
2021.05.18.10:00,120,3,4,8,9,14,15,18,19,2
2021.05.18.09:55,119,2,5,9,10,11,16,19,20,3
2021.05.18.09:50,118,1,6,11,13,15,16,17,18,2
2021.05.18.09:45,117,1,3,7,8,9,12,14,20,3
2021.05.18.09:40,116,2,3,5,6,14,16,18,20,3
2021.05.18.09:35,115,5,7,11,12,15,16,18,19,2
2021.05.18.09:30,114,2,4,6,8,9,14,17,20,1
2021.05.18.09:25,113,1,3,5,6,10,12,14,19,4
2021.05.18.09:20,112,3,4,7,9,10,15,17,18,1
2021.05.18.09:15,111,4,9,13,14,15,16,18,20,1
2021.05.18.09:10,110,2,3,5,7,10,14,15,19,2
2021.05.18.09:05,109,2,3,5,9,11,12,15,18,3
2021.05.18.09:00,108,1,2,3,6,11,13,14,19,1
2021.05.18.08:55,107,3,4,7,8,10,11,14,16,2
2021.05.18.08:50,106,3,9,10,11,13,14,16,20,2
2021.05.18.08:45,105,2,3,4,7,10,14,15,18,3
2021.05.18.08:40,104,1,2,6,8,13,14,16,17,4
2021.05.18.08:35,103,1,3,9,10,15,17,18,20,1
2021.05.18.08:30,102,1,2,3,4,6,15,17,18,4
2021.05.18.08:25,101,1,3,5,6,11,15,16,20,1
2021.05.18.08:20,100,3,4,8,9,10,13,14,19,2
2021.05.18.08:15,99,1,3,4,6,11,14,15,20,3
2021.05.18.08:10,98,1,4,5,7,9,10,16,19,1
2021.05.18.08:05,97,1,3,9,10,13,16,17,18,1
2021.05.18.08:00,96,4,6,7,12,13,16,19,20,1
2021.05.18.07:55,95,2,3,4,5,9,14,18,19,3
2021.05.18.07:50,94,1,2,3,4,5,7,8,9,2
2021.05.18.07:45,93,5,6,7,11,14,15,18,19,2
2021.05.18.07:40,92,1,3,4,10,12,14,18,19,2
2021.05.18.07:35,91,3,7,8,10,13,14,15,16,3
2021.05.18.07:30,90,1,4,8,9,11,12,14,18,2
2021.05.18.07:25,89,3,9,11,12,14,16,19,20,2
2021.05.18.07:20,88,3,6,8,9,11,13,18,19,3
2021.05.18.07:15,87,4,5,8,9,17,18,19,20,4
2021.05.18.07:10,86,1,6,7,11,14,15,19,20,3
2021.05.18.07:05,85,1,4,7,12,13,17,18,19,2